candidate_id,entity_type,normalized_name,canonical_symmap_id,symmap_name,neijing_entity_id,neijing_name,neijing_frequency,match_rule,confidence,status,reviewer,reviewed_at,notes
symptom::汗出,Symptom,汗出,SMTS000380,汗出,symptom_汗出,汗出,1,L1_exact_normalized_name_same_type,medium,pending,,,
symptom::肿胀,Symptom,肿胀,SMTS001690,肿胀,symptom_肿胀,肿胀,1,L1_exact_normalized_name_same_type,medium,pending,,,
symptom::湿痹,Symptom,湿痹,SMTS001968,湿痹,symptom_湿痹,湿痹,1,L1_exact_normalized_name_same_type,medium,pending,,,
symptom::口苦,Symptom,口苦,SMTS000580,口苦,symptom_口苦,口苦,1,L1_exact_normalized_name_same_type,medium,pending,,,
symptom::寒热,Symptom,寒热,SMTS001841,寒热,symptom_寒热,寒热,1,L1_exact_normalized_name_same_type,medium,rejected,,,"Domain expert: 八纲辨证框架概念，非独立症状"
symptom::腹胀,Symptom,腹胀,SMTS000292,腹胀,symptom_腹胀,腹胀,1,L1_exact_normalized_name_same_type,medium,pending,,,
symptom::腰痛,Symptom,腰痛,SMTS001532,腰痛,symptom_腰痛,腰痛,1,L1_exact_normalized_name_same_type,medium,pending,,,
symptom::心痛,Symptom,心痛,SMTS001346,心痛,symptom_心痛,心痛,1,L1_exact_normalized_name_same_type,medium,rejected,,,"Domain expert: 心中痛/心下痛语义分叉，需原文上下文判定"
symptom::头痛,Symptom,头痛,SMTS001133,头痛,symptom_头痛,头痛,1,L1_exact_normalized_name_same_type,medium,pending,,,
symptom::齿痛,Symptom,齿痛,SMTS000097,齿痛,symptom_齿痛,齿痛,1,L1_exact_normalized_name_same_type,medium,pending,,,
symptom::痈疽,Symptom,痈疽,SMTS001593,痈疽,symptom_痈疽,痈疽,1,L1_exact_normalized_name_same_type,medium,pending,,,
symptom::癫狂,Symptom,癫狂,SMTS000186,癫狂,symptom_癫狂,癫狂,1,L1_exact_normalized_name_same_type,medium,rejected,,,"Domain expert: 临床应分癫/狂，不宜合并节点直连"
symptom::短气,Symptom,短气,SMTS000206,短气,symptom_短气,短气,1,L1_exact_normalized_name_same_type,medium,pending,,,
symptom::少气,Symptom,少气,SMTS000895,少气,symptom_少气,少气,1,L1_exact_normalized_name_same_type,medium,pending,,,
symptom::喘,Symptom,喘,SMTS000109,喘,symptom_喘,喘,1,L1_exact_normalized_name_same_type,medium,pending,,,
symptom::口干,Symptom,口干,SMTS000573,口干,symptom_口干,口干,1,L1_exact_normalized_name_same_type,medium,pending,,,
symptom::耳聋,Symptom,耳聋,SMTS000224,耳聋,symptom_耳聋,耳聋,1,L1_exact_normalized_name_same_type,medium,pending,,,
symptom::腹满,Symptom,腹满,SMTS002233,腹满,symptom_腹满,腹满,1,L1_exact_normalized_name_same_type,medium,pending,,,
symptom::下血,Symptom,下血,SMTS001246,下血,symptom_下血,下血,1,L1_exact_normalized_name_same_type,medium,pending,,,
symptom::耳鸣,Symptom,耳鸣,SMTS000226,耳鸣,symptom_耳鸣,耳鸣,1,L1_exact_normalized_name_same_type,medium,pending,,,
symptom::腹中胀满,Symptom,腹中胀满,SMTS000295,腹中胀满,symptom_腹中胀满,腹中胀满,1,L1_exact_normalized_name_same_type,medium,pending,,,
symptom::喉痹,Symptom,喉痹,SMTS000393,喉痹,symptom_喉痹,喉痹,1,L1_exact_normalized_name_same_type,medium,pending,,,
symptom::小便不利,Symptom,小便不利,SMTS001265,小便不利,symptom_小便不利,小便不利,1,L1_exact_normalized_name_same_type,medium,pending,,,
symptom::大便不利,Symptom,大便不利,SMTS000144,大便不利,symptom_大便不利,大便不利,1,L1_exact_normalized_name_same_type,medium,pending,,,
symptom::胀满,Symptom,胀满,SMTS001641,胀满,symptom_胀满,胀满,1,L1_exact_normalized_name_same_type,medium,pending,,,
symptom::腹痛,Symptom,腹痛,SMTS000288,腹痛,symptom_腹痛,腹痛,1,L1_exact_normalized_name_same_type,medium,pending,,,
symptom::呃逆,Symptom,呃逆,SMTS000216,呃逆,symptom_呃逆,呃逆,1,L1_exact_normalized_name_same_type,medium,pending,,,
symptom::身痛,Symptom,身痛,SMTS000942,身痛,symptom_身痛,身痛,1,L1_exact_normalized_name_same_type,medium,pending,,,
symptom::积聚,Symptom,积聚,SMTS002110,积聚,symptom_积聚,积聚,1,L1_exact_normalized_name_same_type,medium,rejected,,,"Domain expert: 属病名范畴，类型需改走 Disease/Pattern 轴"
symptom::发热,Symptom,发热,SMTS000234,发热,symptom_发热,发热,1,L1_exact_normalized_name_same_type,medium,pending,,,
herb::竹茹,Herb,竹茹,SMHB000566,竹茹,herb_竹茹,竹茹,1,L1_exact_normalized_name_same_type,medium,pending,,,
herb::人参,Herb,人参,SMHB000336,人参,herb_人参,人参,1,L1_exact_normalized_name_same_type,medium,pending,,,
herb::甘草,Herb,甘草,SMHB000133,甘草,herb_甘草,甘草,1,L1_exact_normalized_name_same_type,medium,pending,,,
herb::生姜,Herb,生姜,SMHB000367,生姜,herb_生姜,生姜,1,L1_exact_normalized_name_same_type,medium,pending,,,
herb::大枣,Herb,大枣,SMHB000090,大枣,herb_大枣,大枣,1,L1_exact_normalized_name_same_type,medium,pending,,,
herb::金银花,Herb,金银花,SMHB000207,金银花,herb_金银花,金银花,1,L1_exact_normalized_name_same_type,medium,pending,,,
herb::王不留行,Herb,王不留行,SMHB000410,王不留行,herb_王不留行,王不留行,1,L1_exact_normalized_name_same_type,medium,pending,,,
