Common Name,Botanical Name,Family,Chinese Name,Classical Source,Dynasty,Ancient Claim,Claim Transliteration,English Translation,Western Indication,Active Phytochemical,IUPAC Name,SMILES,InChIKey,PubChem CID,Chemical Class,Protein Target,Gene Symbol,UniProt ID,PDB ID,Mechanism
Monkshood (Fuzi),Aconitum carmichaelii,Ranunculaceae,附子 (Fùzǐ),Shanghan Lun (Treatise on Cold Damage),Han Dynasty (210 CE),主风寒咳逆邪气，温中，金疮，破症瘕积聚，堕胎，为回阳救逆第一品。,"Zhǔ fēnghán kénì xiéqì, wēnzhōng, jīnchuāng, pò zhèngjiǎ, wéi huíyáng jiùnì dìyī pǐn.",Premier medicine for rescuing devastated Yang and restoring collapsed pulse; drives out deep cold from bones and joints.,"Heart Failure, Circulatory Shock & Severe Arthralgia (ICD-11: BD10)",Aconitine,"[(1S,2S,4S,5R,6S,7R,8S,9R,10R,11S,12S,14R,15S)-14-acetyloxy-1,8,14-trimethoxy-3-methyl-11-(phenylcarbonyloxy)-3-azatetracyclo[7.3.1.04,12.06,10]tridecan-2-yl] benzoate complex",CC(=O)OC1C(C2C3(CC(C2(C1O)O)C4(C3CC(C4O)(OC)OC)N(C)CC)OC)OC(=O)C5=CC=CC=C5,PBEZOCWMRUDXBV-UHFFFAOYSA-N,135403757,Diester Diterpenoid Alkaloid,Voltage-Gated Sodium Channel (Nav1.5),SCN5A,Q14524,6LQA,Voltage-gated sodium channel site-2 gating modifier and cardiac pacemaker stimulation
Chinese Rhubarb (Dahuang),Rheum officinale,Polygonaceae,大黄 (Dàhuáng),Shennong Bencaojing,Han Dynasty (200 CE),下瘀血，血闭寒热，破症瘕积聚，留饮宿食，荡涤肠胃，推陈致新。,"Xià yūxuè, xuèbì hánrè, pò zhèngjiǎ jījù, liúyǐn sùshí, dàngdí chángwèi, tuīchén zhìxīn.","Purges blood stasis and hard abdominal masses, cleanses the stomach and intestines of stale food, and drives out the old to establish the new.",Acute Intestinal Obstruction & Azotemia (ICD-11: DC10),Sennoside A,"(R,R)-5,5'-bis(beta-D-glucopyranosyloxy)-9,9',10,10'-tetrahydro-4,4'-dihydroxy-10,10'-dioxo[9,9'-bianthracene]-2,2'-dicarboxylic acid",O=C1C2=C(C(=O)C3=C1C=CC(=C3)C4=CC=C5C(=C4)C(=O)C6=C(C5=O)C=C(O)C=C6)C=C(O)C=C2,KZAZVJWNJGZECI-UHFFFAOYSA-N,5199,Dianthrone Glycoside,Casein Kinase 2 (CK2),CSNK2A1,P68400,2ZJW,Stimulation of bowel peristalsis and competitive ATP-binding site kinase modulation
Fleeceflower Root (Heshouwu),Polygonum multiflorum,Polygonaceae,何首乌 (Héshǒuwū),Kaibao Bencao (Materia Medica of the Kaibao Era),Song Dynasty (973 CE),主瘰疬，消痈肿，疗头面风疮，五痔，止心痛，益血气，黑髭发，悦颜色。,"Zhǔ luǒlì, xiāo yōngzhǒng, liáo tóumiàn fēngchuāng, yì xuèqì, hēi zīfà.","Tonifies liver and kidneys, nourishes blood and essence, blackens the hair, and prolongs lifespan.",Hyperlipidemia & Alopecia (ICD-11: 5C80),Emodin-8-O-glucoside,"1,3-dihydroxy-6-methyl-8-[(2S,3R,4S,5S,6R)-3,4,5-trihydroxy-6-(hydroxymethyl)oxan-2-yl]oxyanthracene-9,10-dione",CC1=CC2=C(C(=C1)O)C(=O)C3=C(C2=O)C=C(C=C3O)OC4C(C(C(C(O4)CO)O)O)O,PABSLKMSUGLJDF-UHFFFAOYSA-N,11961476,Anthraquinone Glucoside,HMG-CoA Reductase,HMGCR,P04035,1HW9,Inhibition of hepatic cholesterol biosynthesis and upregulation of Nrf2 antioxidant enzymes
Strychnos Seed (Maqianzi),Strychnos nux-vomica,Loganiaceae,马钱子 (Mǎqiánzǐ),Bencao Gangmu,Ming Dynasty (1578 CE),主伤寒热病，咽喉痹痛，消痞块，痈疽，引诸药行经络。,"Zhǔ shānghán rèbìng, yānhóu bìtòng, xiāo pǐkuài, yōngjū.","Unblocks stubborn meridian obstruction, relieves intractable arthralgia, and disperses hardened inflammatory masses.",Severe Intractable Neuropathic Pain (ICD-11: MG30),Strychnine,"(4aR,5aS,8aR,13aS,15aR,15bR)-4a,5,5a,7,8,13a,15,15a,15b,16-decahydro-2H-4,6-methanoindolo[3,2,1-ij]oxepino[2,3,4-de][1,5]naphthyridin-14-one",O=C1CC2CN3CCC45C6C3CC2C1C4=CC=CC=C5N6C=O,QGVLAACUJAYGGJ-UHFFFAOYSA-N,441071,Indole Alkaloid,Glycine Receptor Alpha-1,GLRA1,P23415,5TIN,Potent spinal glycine receptor competitive modulation and descending pain pathway suppression
Sweet Wormwood (Qinghao),Artemisia annua,Asteraceae,青蒿 (Qīnghāo),Zhouhou Beiji Fang,Jin Dynasty (340 CE),青蒿一握，以水二升渍，绞取汁，尽服之，治寒热诸疟。,"Qīnghāo yī wò, yǐ shuǐ èr shēng zì, jiǎo qǔ zhī, jìn fú zhī, zhì hánrè zhū nüè.","Take a handful of Qinghao, soak in two liters of water, wring out the juice, and ingest to purge chills, fevers, and intermittent malaria.",Malaria & Parasitic Infection (ICD-11: 1F40),Artemisinin,"(3R,5aS,6R,8aS,9R,12S,12aR)-octahydro-3,6,9-trimethyl-3,12-epoxy-12H-pyrano[4,3-j]-1,2-benzodioxepin-10(3H)-one",CC1CCC2C(C(=O)OC3(C2C1C)OOC3(C)C)C,BLUAFEHZUYTIPD-UHFFFAOYSA-N,68827,Sesquiterpene Endoperoxide Lactone,SARS-CoV-2 Main Protease (Mpro),Mpro,P0DTD1,6LU7,Endoperoxide free radical cleavage and catalytic protease inhibition
Baikal Skullcap (Huangqin),Scutellaria baicalensis,Lamiaceae,黄芩 (Huángqín),Shennong Bencaojing,Han Dynasty (200 CE),主诸热黄疸，肠澼泄痢，逐水，下血闭，恶疮疽蚀火疡。,"Zhǔ zhū rè huángdǎn, chángpì xièlì, zhú shuǐ, xià xuèbì, èchuāng jùshí huǒyáng.","Clears all heat jaundice, dysentery and bowel flux, dispels fluid retention, and resolves severe inflammatory carbuncles.",Inflammatory Bowel Disease & Acute Hepatitis (ICD-11: DB30),Baicalein,"5,6,7-trihydroxy-2-phenylchromen-4-one",O=C1C=C(C2=CC=CC=C2)OC3=C1C(O)=C(O)C(O)=C3,AAGVRAYBDVPBOK-UHFFFAOYSA-N,5281605,Trihydroxyflavone,Cyclooxygenase-2 (COX-2),PTGS2,P35354,5IKR,Selective inhibition of prostaglandin endoperoxide synthase and inflammatory cytokine suppression
Chinese Goldthread (Huanglian),Coptis chinensis,Ranunculaceae,黄连 (Huánglián),Shennong Bencaojing,Han Dynasty (200 CE),主热气目痛，眦伤泣出，明目，肠澼泄痢，妇人阴蚀疽痔。,"Zhǔ rèqì mùtòng, zìshāng qìchū, míngmù, chángpì xièlì, fùrén yīnshí jùzhì.","Treats heat conjunctivitis and eye pain, cures infectious diarrhea and dysentery, and resolves festering ulcerations.",Bacterial Gastroenteritis & Dyslipidemia (ICD-11: 1A00),Berberine,"9,10-dimethoxy-5,6-dihydro[1,3]dioxolo[4,5-g]isoquinolino[3,2-a]isoquinolin-7-ium",COC1=C(C2=C(C=C1)C=C3C4=CC5=C(C=C4CC3=[N+]2C)OCO5)OC,YVGAQNUPDVACQD-UHFFFAOYSA-O,2353,Isoquinoline Alkaloid,HMG-CoA Reductase (Cardiovascular),HMGCR,P04035,1HW9,AMPK pathway activation and competitive inhibition of cholesterol synthesis catalytic domain
Red Sage (Danshen),Salvia miltiorrhiza,Lamiaceae,丹参 (Dānshēn),Shennong Bencaojing,Han Dynasty (200 CE),主心腹邪气，肠鸣幽幽如走水，寒热积聚，破宿血，生新血。,"Zhǔ xīnfù xiéqì, chángmíng yōuyōu rú zǒushuǐ, hánrè jījù, pò sùxuè, shēng xīnxuè.","Dispels stagnant pathogenic qi from heart and abdomen, breaks up ancient blood stasis, and promotes microvascular blood regeneration.",Coronary Artery Disease & Myocardial Infarction (ICD-11: BA80),Tanshinone IIA,"1,6,6-trimethyl-8,9-dihydro-7H-naphtho[1,2-g][1]benzofuran-10,11-dione",CC1(CCCC2=C1C=CC3=C2C(=O)C4=C(C3=O)C(=CO4)C)C,KILIZUHGAKMIGZ-UHFFFAOYSA-N,164676,Diterpenoid Phenanthrenequinone,Epidermal Growth Factor Receptor (EGFR),EGFR,P00533,1M17,Tyrosine kinase receptor binding inhibition and coronary vasodilation
Ginseng (Renshen),Panax ginseng,Araliaceae,人参 (Rénshēn),Shennong Bencaojing,Han Dynasty (200 CE),主补五脏，安精神，定魂魄，止惊悸，除邪气，明目，开心益智。,"Zhǔ bǔ wǔzàng, ān jīngshén, dìng húnpò, zhǐ jīngjì, chú xiéqì, míngmù, kāixīn yìzhì.","Tonifies the five internal organs, stabilizes spirit and soul, stops palpitations from shock, clears eyes, and enhances cognitive intellect.",Chronic Fatigue Syndrome & Neurodegeneration (ICD-11: 8E49),Ginsenoside Rg1,"(2R,3R,4S,5S,6R)-2-[[(2R,3R,4S,5S,6R)-3,4,5-trihydroxy-6-(hydroxymethyl)oxan-2-yl]oxymethyl]oxane-3,4,5-triol complex",CC(=CCCC(C)(C1CCC2(C1C(CC3C2(CCC4C3(CCC(C4(C)C)OC5C(C(C(C(O5)CO)O)O)O)C)C)O)C)OC6C(C(C(C(O6)CO)O)O)O)C,ZRIUUUJAISBPPN-UHFFFAOYSA-N,441923,Dammarane Triterpene Saponin,Estrogen Receptor Alpha,ESR1,P03372,1ERE,Nuclear receptor modulation and central cholinergic neuroprotection
Turmeric (Jianghuang),Curcuma longa,Zingiberaceae,姜黄 (Jiānghuáng),Tang Bencao,Tang Dynasty (659 CE),主心腹结积，疰忤，下气，破血，痈肿，通月经。,"Zhǔ xīnfù jiéjī, zhùwǔ, xiàqì, pòxuè, yōngzhǒng, tōng yuèjīng.","Breaks blood stasis, dispels abdominal masses, reduces swollen carbuncles, and regulates amenorrhea.",Rheumatoid Arthritis & Osteoarthritis (ICD-11: FA20),Curcumin,"(1E,6E)-1,7-bis(4-hydroxy-3-methoxyphenyl)hepta-1,6-diene-3,5-dione",COC1=C(C=CC(=C1)C=CC(=O)CC(=O)C=CC2=CC(=C(C=C2)O)OC)O,VFLWBSSSSSQPOG-UHFFFAOYSA-N,969516,Diarylheptanoid,Protein Kinase CK2,CSNK2A1,P68400,2ZJW,Dual suppression of NF-kB activation and ATP-competitive kinase inhibition
